"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","116d",1.1998,"ME204",0.1,10.001,NA,NA,500,"ME204",NA,0.0413,1
"2","117d",1.1994,"ME204",0.1,9.9997,NA,NA,500,"ME204",NA,0.0487,1
"3","118d",1.1989,"ME204",0.1,10.0002,NA,NA,500,"ME204",NA,0.0527,1
"4","119d",1.2008,"ME204",0.1,9.9982,NA,NA,500,"ME204",NA,0.0356,1
"5","120d",1.2,"ME204",0.1,10.0003,NA,NA,500,"ME204",NA,0.0495,1
"6","116d",1.2008,"ME204",0.1,9.9993,NA,NA,500,"ME204",NA,0.0413,2
"7","117d",1.1988,"ME204",0.1,9.9998,NA,NA,500,"ME204",NA,0.0487,2
"8","118d",1.2002,"ME204",0.1,9.9988,NA,NA,500,"ME204",NA,0.0527,2
"9","119d",1.2007,"ME204",0.1,10.0004,NA,NA,500,"ME204",NA,0.0356,2
"10","120d",1.2,"ME204",0.1,10.0007,NA,NA,500,"ME204",NA,0.0495,2
"11","116d",1.1998,"ME204",0.1,9.9997,NA,NA,500,"ME204",NA,0.0413,3
"12","117d",1.1992,"ME204",0.1,10.0018,NA,NA,500,"ME204",NA,0.0487,3
"13","118d",1.2021,"ME204",0.1,10.0007,NA,NA,500,"ME204",NA,0.0527,3
"14","119d",1.2008,"ME204",0.1,10.0009,NA,NA,500,"ME204",NA,0.0356,3
"15","120d",1.2018,"ME204",0.1,10.002,NA,NA,500,"ME204",NA,0.0495,3
