"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","116d",1.2001,"ME204",0.1,9.9993,NA,NA,500,"ME204",NA,0.0415,1
"2","117d",1.1994,"ME204",0.1,10.0008,NA,NA,500,"ME204",NA,0.0489,1
"3","118d",1.1985,"ME204",0.1,10.001,NA,NA,500,"ME204",NA,0.0529,1
"4","119d",1.1994,"ME204",0.1,10,NA,NA,500,"ME204",NA,0.0358,1
"5","120d",1.2002,"ME204",0.1,10.0003,NA,NA,500,"ME204",NA,0.0497,1
"6","116d",1.201,"ME204",0.1,9.999,NA,NA,500,"ME204",NA,0.0415,2
"7","117d",1.2003,"ME204",0.1,10.0005,NA,NA,500,"ME204",NA,0.0489,2
"8","118d",1.1988,"ME204",0.1,9.9993,NA,NA,500,"ME204",NA,0.0529,2
"9","119d",1.2007,"ME204",0.1,10.0008,NA,NA,500,"ME204",NA,0.0358,2
"10","120d",1.1983,"ME204",0.1,9.9992,NA,NA,500,"ME204",NA,0.0497,2
"11","116d",1.1996,"ME204",0.1,10.0003,NA,NA,500,"ME204",NA,0.0415,3
"12","117d",1.1997,"ME204",0.1,9.9992,NA,NA,500,"ME204",NA,0.0489,3
"13","118d",1.1981,"ME204",0.1,9.9998,NA,NA,500,"ME204",NA,0.0529,3
"14","119d",1.2009,"ME204",0.1,9.9984,NA,NA,500,"ME204",NA,0.0358,3
"15","120d",1.1994,"ME204",0.1,10.0001,NA,NA,500,"ME204",NA,0.0497,3
