"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","116d",1.1988,"ME204",0.1,10.002,NA,NA,500,"ME204",NA,0.0476,1
"2","117d",1.1978,"ME204",0.1,10.0012,NA,NA,500,"ME204",NA,0.055,1
"3","118d",1.1987,"ME204",0.1,9.9995,NA,NA,500,"ME204",NA,0.059,1
"4","119d",1.1997,"ME204",0.1,10.0007,NA,NA,500,"ME204",NA,0.0419,1
"5","120d",1.1995,"ME204",0.1,9.9998,NA,NA,500,"ME204",NA,0.0557,1
"6","116d",1.2014,"ME204",0.1,9.9995,NA,NA,500,"ME204",NA,0.0476,2
"7","117d",1.1989,"ME204",0.1,9.9971,NA,NA,500,"ME204",NA,0.055,2
"8","118d",1.1991,"ME204",0.1,9.9992,NA,NA,500,"ME204",NA,0.059,2
"9","119d",1.1997,"ME204",0.1,10.0005,NA,NA,500,"ME204",NA,0.0419,2
"10","120d",1.199,"ME204",0.1,10.0022,NA,NA,500,"ME204",NA,0.0557,2
"11","116d",1.199,"ME204",0.1,10.0005,NA,NA,500,"ME204",NA,0.0476,3
"12","117d",1.1989,"ME204",0.1,10.0006,NA,NA,500,"ME204",NA,0.055,3
"13","118d",1.1987,"ME204",0.1,9.999,NA,NA,500,"ME204",NA,0.059,3
"14","119d",1.1995,"ME204",0.1,10.0002,NA,NA,500,"ME204",NA,0.0419,3
"15","120d",1.1995,"ME204",0.1,9.9979,NA,NA,500,"ME204",NA,0.0557,3
