"","id","masa.muestra","balanza.muestra","volumen.aforo","masa.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica2"
"1","116d",1.1998,"ME204",0.1,9.9997,NA,NA,500,"ME204",NA,0.0487,1
"2","117d",1.1998,"ME204",0.1,9.9997,NA,NA,500,"ME204",NA,0.0561,1
"3","118d",1.1986,"ME204",0.1,9.9991,NA,NA,500,"ME204",NA,0.0601,1
"4","119d",1.1998,"ME204",0.1,10.0001,NA,NA,500,"ME204",NA,0.043,1
"5","120d",1.2009,"ME204",0.1,10.0003,NA,NA,500,"ME204",NA,0.0568,1
"6","116d",1.2007,"ME204",0.1,9.9989,NA,NA,500,"ME204",NA,0.0487,2
"7","117d",1.2005,"ME204",0.1,9.9968,NA,NA,500,"ME204",NA,0.0561,2
"8","118d",1.1996,"ME204",0.1,9.9997,NA,NA,500,"ME204",NA,0.0601,2
"9","119d",1.1998,"ME204",0.1,10,NA,NA,500,"ME204",NA,0.043,2
"10","120d",1.1988,"ME204",0.1,10.0006,NA,NA,500,"ME204",NA,0.0568,2
"11","116d",1.1999,"ME204",0.1,10.0001,NA,NA,500,"ME204",NA,0.0487,3
"12","117d",1.2003,"ME204",0.1,10.0004,NA,NA,500,"ME204",NA,0.0561,3
"13","118d",1.2017,"ME204",0.1,9.9989,NA,NA,500,"ME204",NA,0.0601,3
"14","119d",1.201,"ME204",0.1,10.0007,NA,NA,500,"ME204",NA,0.043,3
"15","120d",1.1995,"ME204",0.1,10.0007,NA,NA,500,"ME204",NA,0.0568,3
